Year of arrival at port of disembarkation,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Captive deaths during crossing,Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)"
1794,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",355,338,,,"0,00845",17,35,
1766,Rio de Janeiro,Luanda,Rio de Janeiro,236,209,,,"0,00847",,,
1762,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,235,220,,,"0,00851",,,
1767,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,467,420,,,"0,00857",,,
1775,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,339,317,,,"0,00885",,,
1787,Nantes,Porto Novo,Saint-Marc,449,425,"0,75278","0,23831","0,00891",24,67,234
1728,"Bahia, place unspecified",Luanda,"Bahia, place unspecified",552,479,,,"0,009140768",,,
1728,Rio de Janeiro,Luanda,"Bahia, place unspecified",330,302,,,"0,009174312",,,
1766,Rio de Janeiro,Luanda,Rio de Janeiro,433,405,,,"0,00924",,,
1765,Rio de Janeiro,Luanda,Rio de Janeiro,323,286,,,"0,00929",,,
1764,Rio de Janeiro,Luanda,Rio de Janeiro,317,296,,,"0,00946",,,
1749,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,316,286,,,"0,00949",,,
1799,Rio de Janeiro,Luanda,Rio de Janeiro,421,398,,,"0,0095",23,81,
1801,Rio de Janeiro,Luanda,Rio de Janeiro,579,525,,,"0,00952",54,43,220
1691,,Ardra,Curaçao,460,445,"0,6801909","0,31026253","0,009546539",15,204,310
1794,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,419,384,,,"0,00955",,,
1726,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,522,453,,,"0,00967118",,,
